Reference, Value, Footprint, Datasheet, Manufacturer, PartNum, Power, Tolerance, Dielectric, Voltage, Current
"R1","100R","local:R_0805_HandSoldering","","Vishay Dale","CRCW0805100RFKEA","0.125W","1%","","",""
"U1","LM5050-1","Package_TO_SOT_SMD:TSOT-23-6","http://www.ti.com/lit/ds/symlink/lm5050-1-q1.pdf","Texas Instruments","LM5050MKX-1","","","","",""
"C2","0.1uF","local:C_0805_HandSoldering","","Kemet","C0805C104K5RACTU","","10%","X7R","50V",""
"D1","STPS40H100CW","Package_TO_SOT_THT:TO-247-3_Vertical","~","STMicro","STPS40H100CW","","","","100V","20A"
"D3","LL4148","local:D_MiniMELF-onsemi","","ON Semiconductor","LL4148","","","","100V","200mA"
"J1","Binding Post (RED)","local:Binding_Post_Hex","~","Keystone","7016","","","","",""
"J3","Binding Post (RED)","local:Binding_Post_Hex","~","Keystone","7016","","","","",""
"J4","Binding Post (BLACK)","local:Binding_Post_Hex","~","Keystone","7017","","","","",""
"D4","SS16T3","Diode_SMD:D_SMA","~","ON Semiconductor","SS16T3","","","","60V","1A"
"D6","SS16T3","Diode_SMD:D_SMA","~","ON Semiconductor","SS16T3","","","","60V","1A"
"D2","SMBJ60A","Diode_SMD:D_SMB","~","Littelfuse","SMBJ60A","","","","60V",""
"J2","Binding Post (RED)","local:Binding_Post_Hex","~","Keystone","7016","","","","",""
"J5","Binding Post (BLACK)","local:Binding_Post_Hex","~","Keystone","7017","","","","",""
"R2","100R","local:R_0805_HandSoldering","","Vishay Dale","CRCW0805100RFKEA","0.125W","1%","","",""
"D5","LL4148","local:D_MiniMELF-onsemi","","ON Semiconductor","LL4148","","","","100V","200mA"
"SW1","SW_SPDT","local:ASE1D-6M-10-Z","~","Nidec Copal","ASE1D-2M-10-Z","","","","60V","50mA"
"C3","1uF","local:C_1206_HandSoldering","","Samsung","CL31B105KCHNFNE","","10%","X7R","100V",""
"C1","22uF","Capacitor_SMD:CP_Elec_6.3x5.9","","Panasonic","50SVPK22M","","20%","Poly","50V",""
"BT1","Battery","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","9.0V",""
"Q1","IRFP4710PBF","Package_TO_SOT_THT:TO-247-3_Vertical","~","Infineon","IRFP4710PBF","190W","","","100V","72A"
"D8","LED","local:AM2520ZGC09","~","Kingbright","AM2520ZGC09","","","","",""
"D7","MM3Z4V3T1G","local:SOD-323_477-02-H_HandSoldering","~","ON Semiconductor","MM3Z4V3T1G","300mW","","","4.3V",""
"R3","634","local:R_0805_HandSoldering","","Vishay Dale","CRCW080634R0FKEA","0.125W","1%","","",""
"H1","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"H3","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"H2","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"H4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"HS1","MA-301-27E","local:MA-301-27E","~","Ohmite","MA-301-27E","","","","",""
"U2","PSSI2021SAY","Package_TO_SOT_SMD:SOT-353_SC-70-5","~","NXP Semiconductors","PSSI2021SAY","","","","",""
